,Location,hostname,interface,hostname.1,interface.1
237,MIAMI,MIA-T1A-RT01,POS2/2/0,DA-T1A-RT03,POS8/0/0
238,CHICAGO,CH-T1A-RT01,GIGABITETHERNET4/0/0,CH-T1A-RT03,GIGABITETHERNET3/0/0
239,TORONTO,TOR-T1A-T6UX-HRT01,GE_2/2/1,TOR-T1A-T6UX-RT02,GIGABITETHERNET0/1/1
240,NEW YORK,NY-T1A-N99X-HCR01,TE_1/1/14,NY-T1A-CR03,TENGIGABITETHERNET2/2
241,ASHBURN,ASH-T1A-AE6X-RT04,GIGABITETHERNET1/0/1,ASH-T1A-AE6X-HRT01,GE_3/2/12
242,NEW YORK,NY-T1A-N99X-HCR01,GE_1/1/6,BOS-T1A-RT01,GIGABITETHERNET0/0/2
243,TOKYO,TK-T1A-T0VX-HPE02,TE_1/1/13,TK-T1A-T0VX-HCR01,TE_2/1/1
244,TORONTO,TOR-T1A-T6UX-HRT01,GE_5/1/11,TOR-T1A-RT02,GE-3/1/0.0
245,SEATTLE2,SEA2-T1A-EMSX-HRT01,TE_1/1/14,SEA-T1A-00SX-HPE01,TE_5/1/13
246,LONDON,LN-T1A-HCR01,STM4_4/2/2,MOS-T1A-RT01,POS2/2/0
247,TOKYO,TK-T1A-T0VX-HCR01,GE_1/1/8,OSA-T1A-RT01,GIGABITETHERNET2/0/4
248,LONDON2,LN2-T1A-LDNX-HRT02,TE_3/2/3,LN-T1A-RT11-PE,TENGIGABITETHERNET3/1
249,SINGAPORE,SI-T1A-HCR01,GE_2/1/3,SI-T1A-SVWX-RT07-ASBR,GIGABITETHERNET0/3
250,OSAKA,OSA-T1A-RT01,GIGABITETHERNET3/0/1,OSA-T1A-RT02,GIGABITETHERNET2/0/1
251,MANILA,MLA-T1A-P98X-HRT01,GE_2/1/7,MLA-T1A-P98X-RT03,GIGABITETHERNET0/0/0
252,TORONTO,TOR-T1A-RT02,GE-2/1/0.0,TOR-T1A-RT01,GE-2/1/0.0
253,DALLAS,DA-T1A-RT01,GIGABITETHERNET2/2/2,DA-T1A-D0VX-HPE01,GE_2/2/13
254,KUALALAMPUR,KL-T1A-KKZX-ACN-RT01,GIGABITETHERNET0/2/1,KL-T1A-KVDX-HRT01,GE_1/1/10
255,TOKYO,TK-T1A-T0VX-HCR02,TE_3/1/2,TK-T1A-T0VX-HCR01,TE_5/1/14
256,LONDON,LN-T1A-RT06-CE,GIGABITETHERNET0/3,LN-T1A-RT04-PE,GIGABITETHERNET1/30
257,NEW YORK,NY-T1A-CR03,TENGIGABITETHERNET4/2,NY-T1A-N99X-HPE01,TE_10/1/14
258,SINGAPORE2,SI2-T1A-SVQX-HCR01,GE_1/1/5,SI2-T1A-RT02,GIGABITETHERNET7/2
259,SYDNEY,SY-T1A-M3HX-HRT01,GE_5/1/9,SY-T1A-RT01,GIGABITETHERNET4/1/2
260,SYDNEY,SY-T1A-1MHX-HRT02,STM16_1/2/1,TK-T1A-T0VX-HCR01,STM16_1/2/4
261,CHICAGO,CH-T1A-CT8X-HPE01,TE_5/1/13,DA-T1A-RT03,TENGIGABITETHERNET4/1
262,ISRAEL,ISL-T1A-XXGX-HRT01,GE_2/1/19,ISL-T1A-ATLVA-ACN-RT01,GIGABITETHERNET0/0/0
263,SINGAPORE,SI-T1A-SVWX-HCR02,GE_1/1/6,KL2-T1A-KT1X-HRT01,GE_5/1/3
264,HONGKONG,HK-T1A-H99X-HCR01,TE_5/1/13,HK-T1A-H99X-HPE01,TE_10/1/13
265,ISRAEL,ISL-T1A-ATLVA-ACN-RT01,GIGABITETHERNET0/1/0,ISL-T1A-ATLVA-ACN-RT02,GIGABITETHERNET0/1/0
266,NEW JERSEY,NJ-T1A-NJYX-HCR02,TE_1/2/1,NJ-T1A-NJYX-HPE01,TE_3/2/3
267,ASHBURN,ASH-T1A-AE6X-HRT03,TE_2/2/1,ASH-T1A-AE6X-HRT01,TE_5/1/13
268,NEW JERSEY,NJ-T1A-NJYX-CR02,TENGIGABITETHERNET2/1,LA-T1A-CR02,TENGIGABITETHERNET2/1
269,LOS ANGELES,LA-T1A-27GX-HPE01,TE_2/2/3,LA-T1A-27GX-HCR01,TE_5/1/1
270,LOS ANGELES,LA-T1A-RT02,GIGABITETHERNET3/0/0,LA-T1A-CR01,GIGABITETHERNET3/2
271,JOHANNESBURG2,JOB2-T1A-JHBX-HRT01,GE_5/1/1,JOB-T1A-EOPX-HRT01,GE_1/1/1
272,NARITA,NAR-T1A-ANRT1X-ACN-RT01,GIGABITETHERNET0/0/0.1401,TK-T1A-T0VX-HCR01,GE_5/1/10.1401
273,FRANKFURT2,FFT2-T1A-FEQX-HRT01,GE_5/1/1,FFT2-T1A-FEQ-RT02,GIGABITETHERNET7/1
274,DALLAS,DA-T1A-D0VX-HPE01,TE_1/1/13,DA-T1A-RT03,TENGIGABITETHERNET4/2
275,HONGKONG,HK-T1A-H99X-HPE02,GE_1/1/8,HK-T1A-RT08-PE,GIGABITETHERNET4/5
276,SINGAPORE,TCX-T1A-IH4X-HRT02,GE_2/1/25,TCX-T1A-IH4X-HRT01,GE_2/1/25
277,SANTA CLARA,SC-T1A-SV1X-HCR01,TE_1/1/13,NY-T1A-CR03,TENGIGABITETHERNET7/1
278,JOHANNESBURG2,JOB2-T1A-JHBX-HRT01,GE_1/1/4,MAP-T1A-1Z9X-HRT01,GE_1/7/3
279,KAMPALA,KAM-T1A-HRT01,GE_1/1/2,DAR-T1A-HRT01,GE_1/7/2
