Location,hostname,hostIP,interface,InterfaceIP,,Location,hostname,hostIP,interface,InterfaceIP,,Region,
JOHANNESBURG, jo-t1a-ajnba-acn-rt02, 192.168.201.80, GigabitEthernet0/1/0, 172.28.128.94,65535, JOHANNESBURG, jo-t1a-ajnba-acn-rt01, 192.168.201.82, GigabitEthernet0/1/0, 172.28.128.93,65535,  africa,  
SINGAPORE, si-t1a-hcr01, 192.168.250.14, TE_2/1/14, 172.31.30.117,15, SINGAPORE, si-t1a-svwx-hpe01, 192.168.250.16, TE_1/1/13, 172.31.30.118,15,  apac,  
TAIPEI, tai-t1a-tj5x-hrt02, 192.168.201.56, GE_1/1/11, 172.31.100.50,10, TAIPEI, tai-t1a-rt01, 192.168.253.56, GigabitEthernet3/0/0, 172.31.100.49,10,  apac,  
SINGAPORE2, si2-t1a-svqx-hcr02, 192.168.194.48, GE_1/1/4, 192.168.37.146,15, SINGAPORE2, si2-t1a-rt01, 192.168.250.10, GigabitEthernet3/0/0, 192.168.37.145,15,  apac,  
PARIS, par-t1a-p96x-hcr02, 192.168.201.120, TE_3/1/3, 172.26.11.130,1950, LONDON2, ln2-t1a-ldnx-hrt01, 192.168.246.186, TE_4/2/13, 172.26.11.129,1950,  europe,7.64
MELBOURNE, mlb-t1a-1mex-hrt01, 192.168.201.84, GE_1/1/11, 172.31.163.254,10, MELBOURNE, mlb-t1a-rt01, 192.168.252.8, GigabitEthernet7/0/4, 172.31.163.253,10,  apac,  
SYDNEY, sy-t1a-rt01, 192.168.252.1, GigabitEthernet4/0/0, 172.31.103.49,11, SYDNEY, sy-t1a-rt03, 192.168.252.3, GigabitEthernet3/0/0, 172.31.103.50,11,  apac,  
NEW YORK, ny-t1a-n99x-hcr01, 192.168.194.136, TE_2/2/1, 172.31.251.241,15, NEW YORK, ny-t1a-n99x-hpe01, 192.168.248.78, TE_1/1/13, 172.31.251.242,15,  americas,  
KUALALAMPUR2, kl2-t1a-kt1x-hrt01, 192.168.194.74, GE_1/1/5, 172.28.138.21,50, KUALALAMPUR, kl-t1a-kvdx-hrt01, 192.168.201.139, GE_1/1/8, 172.28.138.22,50,  apac,2.12
CHICAGO, ch-t1a-rt03, 192.168.248.21, TenGigabitEthernet4/2, 172.31.251.230,2000, NEW YORK, ny-t1a-cr03, 192.168.248.75, TenGigabitEthernet9/2, 172.31.251.229,2000,  americas,20
FRANKFURT, fft-t1a-fnmx-hcr02, 192.168.194.139, TE_5/1/14, 172.31.247.141,15, FRANKFURT, fft-t1a-hpe02, 192.168.254.40, TE_3/1/14, 172.31.247.142,15,  europe,  
FRANKFURT, fft-t1a-fnmx-hcr02, 192.168.194.139, TE_3/1/4, 172.31.247.165,500, FRANKFURT2, fft2-t1a-feq-rt02, 192.168.247.9, TenGigabitEthernet8/1, 172.31.247.166,500,  europe,1
SINGAPORE2, si2-t1a-svqx-hcr01, 192.168.194.47, GE_1/1/8, 172.25.78.205,4500, BANGKOK, bnk-t1a-rt01, 192.168.250.32, GigabitEthernet0/0/1, 172.25.78.206,4500,  apac,25
Johannesburg, job-t1a-eopx-hrt01, 192.168.194.182, GE_5/1/4, 172.26.11.234,600, JOHANNESBURG, jo-t1a-rt01, 192.168.246.16, GigabitEthernet7/0/4, 172.26.11.233,600,  africa,1
TAIPEI, tai-t1a-tj5x-hrt02, 192.168.201.56, STM4_1/2/1, 172.31.59.33,4100, TOKYO, tk-t1a-t0vx-hcr01, 192.168.253.174, STM4_5/2/10, 172.31.59.34,4100,  apac,36.6
SINGAPORE, si-t1a-asinx-acn-rt02, 192.168.201.66, GigabitEthernet0/0/0, 172.31.163.126,65535, SINGAPORE, si-t1a-hcr01, 192.168.250.14, GE_2/1/8, 172.31.163.125,65535,  apac,  
MANILA2, mla2-t1a-gx0x-hrt01, 192.168.194.93, TE_1/1/13, 172.28.129.201,100, MANILA, mla-t1a-p98x-hrt02, 192.168.201.144, TE_1/1/14, 172.28.129.202,100,  apac,1.21
TORONTO, tor-t1a-t6ux-hrt01, 192.168.194.144, TE_5/1/14, 172.20.249.165,100, Toronto2, tor2-t1a-tttx-hrt01, 192.168.194.187, TE_5/1/13, 172.20.249.166,100,  americas,0.99
LONDON2, ln2-t1a-ldnx-hrt02, 192.168.201.127, TE_1/2/2, 172.31.85.54,10, LONDON2, ln2-t1a-ldnx-hrt01, 192.168.246.186, TE_1/1/13, 172.31.85.53,10,  europe,  
WARSAW, wa-t1a-wznx-hrt02, 192.168.201.179, GE_1/1/12, 172.28.141.21,65535, WARSAW, wa-t1a-wznx-hpe01, 192.168.246.49, GE_1/9/4, 172.28.141.22,65535,  europe,  
Bali, bal-t1a-eahx-acn-rt01, 192.168.194.214, GigabitEthernet0/0/0, 172.31.207.210,65000, JAKARTA, jk-t1a-rt01, 192.168.253.73, GigabitEthernet0/0/3, 172.31.207.209,65000,  apac,18
SEOUL, seo-t1a-aicna-acn-rt01, 192.168.201.12, GigabitEthernet0/1/0, 172.31.205.33,65535, SEOUL, seo-t1a-aicna-acn-rt02, 192.168.201.13, GigabitEthernet0/1/0, 172.31.205.34,65535,  apac,  
KUALALAMPUR2, kl2-t1a-kt1x-hrt01, 192.168.194.74, GE_1/1/1, 172.31.238.250,100, KUALALAMPUR, kl-t1a-kvdx-hrt01, 192.168.201.139, GE_2/1/6, 172.31.238.249,100,  apac,1.78
SINGAPORE2, si2-t1a-svqx-hcr02, 192.168.194.48, GE_1/1/6, 172.28.129.229,50000, SINGAPORE, tcx-t1a-ih4x-hrt02, 192.168.201.43, GE_2/1/31, 172.28.129.230,50000,  apac,0.7
NEW JERSEY, nj-t1a-njyx-cr02, 192.168.194.4, TenGigabitEthernet4/2, 172.29.215.194,15, NEW JERSEY, nj-t1a-njyx-hpe02, 192.168.248.41, TE_10/1/14, 172.29.215.193,15,  americas,  
LOS ANGELES, la-t1a-cr01, 192.168.248.28, TenGigabitEthernet4/2, 172.31.36.245,10, LOS ANGELES, la-t1a-cr02, 192.168.248.30, TenGigabitEthernet4/2, 172.31.36.246,10,  americas,  
NEW YORK, ny-t1a-n99x-hcr01, 192.168.194.136, GE_5/1/1, 172.31.236.9,15, NEW YORK, ny-t1a-rt05, 192.168.248.6, GigabitEthernet3/1/2, 172.31.236.10,15,  americas,  
HONGKONG, hk-t1a-rt02-PE, 192.168.189.2, GigabitEthernet2/7.199, 172.31.204.129,65000, SINGAPORE, si-t1a-svwx-hpe02, 192.168.250.15, TE_1/1/13:199, 172.31.204.130,65535,  apac,33.7
WARSAW, wa-t1a-wznx-hrt01, 192.168.201.178, GE_1/1/12, 172.28.141.81,10, WARSAW, wa-t1a-wznx-hpe02, 192.168.246.48, GE_1/11/1, 172.28.141.82,10,  europe,  
FRANKFURT2, fft2-t1a-feqx-hrt01, 192.168.194.195, TE_2/1/13, 172.26.11.134,2900, PARIS, par-t1a-p96x-hcr02, 192.168.201.120, TE_5/1/1, 172.26.11.133,2900,  europe,9.67
RIYADH, ryd-t1a-rt01, 192.168.252.232, POS3/1/0, 172.29.217.214,4000, BAHRAIN, bah-t1a-hrt01, 192.168.253.180, STM1_1/11/1, 172.29.217.213,4000,  middleast,6.6
KUALALAMPUR, kl-t1a-yuqx-acn-rt01, 192.168.194.190, GigabitEthernet0/2/1, 172.31.206.126,50000, KUALALAMPUR2, kl2-t1a-kt1x-hrt01, 192.168.194.74, GE_1/1/6, 172.31.206.125,50000,  apac,5.29
SINGAPORE, tcx-t1a-ih4x-hrt01, 192.168.201.5, GE_1/1/29, 172.31.205.46,50400, SINGAPORE, si-t1a-hcr01, 192.168.250.14, GE_3/1/8, 172.31.205.45,50400,  apac,0.35
SEOUL3, seo3-t1a-OO8x-hrt01, 192.168.194.89, GE_5/1/10, 172.31.205.37,65535, SEOUL, seo-t1a-aicna-acn-rt02, 192.168.201.13, GigabitEthernet0/0/0, 172.31.205.38,65535,  apac,3
ATLANTA, atl-t1a-rt02, 192.168.248.19, GigabitEthernet3/0/1, 192.168.38.86,15, ATLANTA, atl-t1a-rt01, 192.168.248.27, GigabitEthernet3/0/1, 192.168.38.85,15,  americas,  
MIAMI, mia-t1a-mlnx-hpe02, 192.168.194.148, GE_1/1/2, 172.31.236.77,10, MIAMI, mia-t1a-rt01, 192.168.248.22, GigabitEthernet2/1/4, 172.31.236.78,10,  americas,  
CRESSEX, crx-t1a-hw1x-hrt02, 192.168.194.45, TE_2/2/2, 172.28.140.146,10, CRESSEX, crx-t1a-hw1x-hrt99, 192.168.201.174, TE_1/1/13, 172.28.140.145,10,  europe,  
LONDON, ln-t1a-l78x-hcr02, 192.168.194.138, GE_5/1/1, 172.31.24.62,1000, LONDON, ln-t1a-rt04-PE, 192.168.246.6, GigabitEthernet7/0/1, 172.31.24.61,1000,  europe,  
Johannesburg, job-t1a-eopx-hrt01, 192.168.194.182, GE_2/2/1, 172.31.246.66,50000, GABORONE, gab-t1a-7b6x-hrt01, 192.168.194.71, GE_1/3/1, 172.31.246.65,50000,  africa,13.2
BANGKOK2, bnk2-t1a-C9Vx-hrt01, 192.168.194.102, GE_1/3/1, 172.31.238.17,4500, HONGKONG, hk-t1a-h99x-hcr01, 192.168.194.49, GE_1/1/8, 172.31.238.18,4500,  apac,52.3
HONGKONG, hk-t1a-rt08-PE, 192.168.253.16, GigabitEthernet1/0/1, 172.31.25.122,15, HONGKONG, hk-t1a-cr02, 192.168.253.7, GigabitEthernet1/0/1, 172.31.25.121,15,  apac,  
HONGKONG, hk-t1a-h99x-hcr01, 192.168.194.49, TE_3/1/2, 172.31.205.189,3300, TOKYO, tk-t1a-t0vx-hcr01, 192.168.253.174, TE_2/1/2, 172.31.205.190,3300,  apac,48.8
LONDON, ln-t1a-hcr01, 192.168.246.13, GE_3/1/1, 172.31.24.237,1000, LONDON, ln-t1a-rt04-PE, 192.168.246.6, GigabitEthernet9/0/1, 172.31.24.238,1000,  europe,  
CRESSEX, crx-t1a-hw1x-hrt99, 192.168.201.174, TE_1/2/14, 172.31.254.161,500, LONDON, ln-t1a-hcr01, 192.168.246.13, TE_1/2/2, 172.31.254.162,500,  europe,1.66
HONGKONG, hk-t1a-h99x-hcr01, 192.168.194.49, GE_5/1/2, 172.31.253.209,15, HONGKONG, hk-t1a-rt08-PE, 192.168.253.16, GigabitEthernet3/0/4, 172.31.253.210,15,  apac,  
NEW JERSEY, nj-t1a-njyx-hcr01, 192.168.194.212, TE_5/1/3, 172.31.24.225,100, NEW YORK, ny-t1a-cr03, 192.168.248.75, TenGigabitEthernet2/1, 172.31.24.226,100,  americas,1
NEW YORK, ny-t1a-n99x-hcr01, 192.168.194.136, GE_5/1/2, 172.31.236.13,15, NEW YORK, ny-t1a-rt05, 192.168.248.6, GigabitEthernet8/1/1, 172.31.236.14,15,  americas,  
LONDON2, ln2-t1a-ldnx-hrt02, 192.168.201.127, GE_1/1/2, 172.31.26.221,100, LONDON, ln-t1a-rt05, 192.168.246.15, GigabitEthernet3/0/3, 172.31.26.222,100,  europe,1
LOS ANGELES, la-t1a-rt02, 192.168.248.18, GigabitEthernet7/0/1, 172.31.36.253,15, LOS ANGELES, la-t1a-cr02, 192.168.248.30, GigabitEthernet3/2, 172.31.36.254,15,  americas,  
NEW YORK, ny-t1a-n99x-hcr01, 192.168.194.136, TE_5/1/13, 172.31.24.70,300, ASHBURN, ash-t1a-ae6x-hrt03, 192.168.201.187, TE_1/1/13, 172.31.24.69,300,  americas,6.55
NEW YORK, ny-t1a-n99x-hcr01, 192.168.194.136, GE_1/1/2, 172.31.251.253,15, NEW YORK, ny-t1a-rt01, 192.168.248.2, GigabitEthernet4/1/4, 172.31.251.254,15,  americas,  
MELBOURNE, mlb-t1a-1mex-hrt01, 192.168.201.84, GE_5/1/1, 172.31.82.10,10, MELBOURNE, mlb-t1a-rt01, 192.168.252.8, GigabitEthernet3/0/1, 172.31.82.9,10,  apac,  
SINGAPORE, si-t1a-asinx-acn-rt02, 192.168.201.66, GigabitEthernet0/0/1, 172.31.163.118,65535, SINGAPORE, si-t1a-asinx-acn-rt01, 192.168.201.67, GigabitEthernet0/0/1, 172.31.163.117,10,  apac,  
PARIS, par-t1a-p96x-hcr01, 192.168.194.137, TE_1/2/1, 172.31.85.17,1000, FRANKFURT, fft-t1a-fnmx-hcr02, 192.168.194.139, TE_3/1/1, 172.31.85.18,1000,  europe,  
MANILA, mla-t1a-p98x-hrt01, 192.168.201.145, TE_2/1/14, 172.28.129.125,4000, SINGAPORE, si-t1a-hcr01, 192.168.250.14, TE_3/1/14, 172.28.129.126,4000,  apac,31.2
Bali, bal-t1a-eahx-acn-rt01, 192.168.194.214, GigabitEthernet0/1/0, 172.31.207.197,10, Bali, bal-t1a-eahx-acn-rt02, 192.168.194.216, GigabitEthernet0/1/0, 172.31.207.198,10,  apac,  
LONDON, ln-t1a-l78x-hcr02, 192.168.194.138, TE_5/2/4, 172.31.247.217,100, LONDON2, ln2-t1a-ldnx-hrt01, 192.168.246.186, TE_5/1/14, 172.31.247.218,100,  europe,0.41
JOHANNESBURG, jo-t1a-ajnba-acn-rt02, 192.168.201.80, GigabitEthernet0/0/1, 172.28.128.90,65535, JOHANNESBURG, jo-t1a-ajnba-acn-rt01, 192.168.201.82, GigabitEthernet0/0/1, 172.28.128.89,65535,  africa,  
NEW YORK, ny-t1a-n99x-hcr01, 192.168.194.136, GE_5/1/7, 172.31.197.202,65535, NEW YORK, ny-t1a-n99x-hrv01, 192.168.194.204, GE_1/1/1, 172.31.197.201,65535,  americas,  
SINGAPORE, si-t1a-asinx-acn-rt02, 192.168.201.66, GigabitEthernet0/1/0, 172.31.163.122,65535, SINGAPORE, si-t1a-asinx-acn-rt01, 192.168.201.67, GigabitEthernet0/1/0, 172.31.163.121,65535,  apac,  
MIAMI, mia-t1a-mlnx-hpe02, 192.168.194.148, TE_1/1/14, 172.31.197.106,1800, ATLANTA, atl-t1a-a56x-hrt01, 192.168.194.149, TE_1/1/14, 172.31.197.105,1800,  americas,12.7
MANILA, mla-t1a-amnla-acn-rt01, 192.168.194.247, GigabitEthernet0/0/1, 172.31.163.221,65535, MANILA, mla-t1a-amnla-acn-rt02, 192.168.201.79, GigabitEthernet0/0/1, 172.31.163.222,65535,  apac,  
VIETNAM, vi-t1a-asgna-acn-rt01, 192.168.201.111, GigabitEthernet0/1/0, 172.31.82.177,65535, VIETNAM, vi-t1a-asgna-acn-rt02, 192.168.201.112, GigabitEthernet0/1/0, 172.31.82.178,65535,  apac,  
TOKYO, tk-t1a-t0vx-hcr02, 192.168.201.191, TE_1/2/1, 172.31.239.101,10, TOKYO, tk-t1a-t0vx-hcr01, 192.168.253.174, TE_1/1/14, 172.31.239.102,10,  apac,  
NEW YORK, ny-t1a-rt05, 192.168.248.6, GigabitEthernet8/2/2, 172.31.27.249,15, NEW YORK, ny-t1a-cr03, 192.168.248.75, GigabitEthernet3/5, 172.31.27.250,15,  americas,  
Haneda, han-t1a-ahndax-acn-rt02, 192.168.201.71, GigabitEthernet0/1/0, 172.31.163.82,10, Haneda, han-t1a-ahndax-acn-rt01, 192.168.201.72, GigabitEthernet0/1/0, 172.31.163.81,10,  apac,  
Narita, nar-t1a-anrt1x-acn-rt02, 192.168.194.238, GigabitEthernet0/0/0.1411, 172.31.204.206,65535, TOKYO2, tk2-t1a-rt01, 192.168.253.88, GigabitEthernet0/0/4.1411, 172.31.204.205,65535,  apac,6
TOKYO, tk-t1a-t0vx-hrv01, 192.168.194.202, GE_5/1/1, 172.31.206.229,65535, TOKYO, tk-t1a-t0vx-hcr02, 192.168.201.191, GE_1/1/4, 172.31.206.230,65535,  apac,  
BANGKOK2, bnk2-t1a-C9Vx-hrt01, 192.168.194.102, GE_1/7/1, 172.31.238.21,100, BANGKOK, bnk-t1a-rt01, 192.168.250.32, GigabitEthernet0/0/2, 172.31.238.22,100,  apac,1
SEOUL2, seo2-t1a-OO7x-hrt01, 192.168.194.76, TE_5/1/14, 172.31.206.193,100, SEOUL3, seo3-t1a-OO8x-hrt01, 192.168.194.89, TE_1/1/13, 172.31.206.194,100,  apac,0.4
FRANKFURT, fft-t1a-fnm-hcr01, 192.168.247.12, GE_3/1/4, 172.31.121.17,15, FRANKFURT, fft-t1a-rt07-ASBR, 192.168.254.38, GigabitEthernet0/0/3, 172.31.121.18,15,  europe,  
BUDAPEST, bud-t1a-rt01, 192.168.246.88, GigabitEthernet3/0/1, 172.31.102.93,10, BUDAPEST, bud-t1a-rt02, 192.168.246.89, GigabitEthernet3/0/1, 172.31.102.94,10,  europe,  
TORONTO, tor-t1a-t6ux-hrt01, 192.168.194.144, GE_2/2/3, 172.28.146.125,65535, TORONTO, tor-t1a-t6ux-rt04, 192.168.201.186, GigabitEthernet0/0/0, 172.28.146.126,65535,  americas,  
MIAMI, mia-t1a-mlnx-hpe02, 192.168.194.148, GE_1/1/12, 172.31.27.26,15, MIAMI, mia-t1a-rt05-ASBR, 192.168.248.31, GigabitEthernet1/0/0, 172.31.27.25,15,  americas,  
HONGKONG, hk-t1a-h99x-hcr01, 192.168.194.49, TE_3/1/4, 172.31.204.26,7000, MANILA2, mla2-t1a-gx0x-hrt01, 192.168.194.93, TE_5/1/13, 172.31.204.25,10000,  apac,21.2
MILAN, mil-t1a-rt02, 192.168.246.153, GigabitEthernet2/2/3, 172.26.11.85,65000, FRANKFURT, fft-t1a-fnm-hcr01, 192.168.247.12, GE_2/1/11, 172.26.11.86,65000,  europe,8.51
NEW YORK, ny-t1a-rt04, 192.168.248.7, GigabitEthernet0/2, 172.31.122.34,15, NEW YORK, ny-t1a-cr03, 192.168.248.75, GigabitEthernet3/8, 172.31.122.33,15,  americas,  
JOHANNESBURG, jo-t1a-rt01, 192.168.246.16, POS3/2/0, 172.29.213.158,5000, MAURITIUS, mau-t1a-rt01, 192.168.253.170, POS1/1/0, 172.29.213.157,5000,  africa,43
WARSAW, wa-t1a-wznx-hrt01, 192.168.201.178, TE_2/1/13, 172.28.141.17,65535, WARSAW, wa-t1a-wznx-hrt02, 192.168.201.179, TE_2/1/13, 172.28.141.18,65535,  europe,  
BANGKOK2, bnk2-t1a-C9Vx-hrt01, 192.168.194.102, GE_1/8/1, 172.31.206.169,65535, BANGKOK, bnk-t1a-aaafqx-acn-rt01, 192.168.194.192, GigabitEthernet0/2/1, 172.31.206.170,65535,  apac,1
LUANDA, lua-t1a-alada-acn-rt01, 192.168.194.241, GigabitEthernet0/0/0, 172.31.210.58,64800, LUANDA, lua-t1a-7b5x-hrt01, 192.168.194.68, GE_1/9/5, 172.31.210.57,64800,  africa,  
LONDON, ln-t1a-rt02, 192.168.182.3, GigabitEthernet0/1, 172.31.120.14,1000, LONDON, ln-t1a-hcr01, 192.168.246.13, GE_2/1/5, 172.31.120.13,1000,  europe,  
HONGKONG, hk-t1a-h99x-hcr01, 192.168.194.49, GE_5/1/1, 172.31.253.205,15, HONGKONG, hk-t1a-rt08-PE, 192.168.253.16, GigabitEthernet3/0/3, 172.31.253.206,15,  apac,  
JAKARTA2, jk2-t1a-IJNX-rt01, 192.168.194.162, POS1/1/0, 172.31.206.69,4000, SINGAPORE, si-t1a-hcr01, 192.168.250.14, STM1_5/2/1, 172.31.206.70,4000,  apac,12.7
JOHANNESBURG, jo-t1a-rt01, 192.168.246.16, POS3/2/1, 172.23.182.142,65535, DAR-E-SALAAM, dar-t1a-hrt01, 192.168.246.21, STM1_1/12/1, 172.23.182.141,65535,  africa,  
LOS ANGELES, la-t1a-rt02, 192.168.248.18, GigabitEthernet3/0/1, 172.25.78.106,15, LOS ANGELES, la-t1a-cr01, 192.168.248.28, GigabitEthernet3/10, 172.25.78.105,15,  americas,  
PARIS2, par2-t1a-pvux-hrt02, 192.168.194.239, GE_5/1/1, 172.26.10.105,10, PARIS2, par2-t1a-rt01, 192.168.246.67, GigabitEthernet3/1/1, 172.26.10.106,10,  europe,  
MADRID, ma-t1a-wv6x-hrt01, 192.168.194.22, TE_1/1/14, 172.31.85.221,10000, LONDON, ln-t1a-hcr01, 192.168.246.13, TE_1/2/3, 172.31.85.222,10000,  europe,23.2
HONGKONG, hk-t1a-rt02-PE, 192.168.189.2, GigabitEthernet4/0/0, 172.31.25.254,15, HONGKONG, hk-t1a-cr02, 192.168.253.7, GigabitEthernet1/0/3, 172.31.25.253,15,  apac,  
KAMPALA, kam-t1a-hrt01, 192.168.246.17, GE_1/1/3, 172.31.204.21,50000, NAIROBI2, nai2-t1a-hrt01, 192.168.246.20, GE_1/8/4, 172.31.204.22,50000,  africa,7.88
HONGKONG2, hk2-t1a-kthx-hrt02, 192.168.201.73, TE_3/1/14, 172.31.82.201,4500, TOKYO3, emi-t1a-cr01, 192.168.253.171, TenGigabitEthernet9/1, 172.31.82.202,4500,  apac,60
Israel, isl-t1a-atlva-acn-rt01, 192.168.201.31, GigabitEthernet0/0/1, 172.31.185.57,10, Israel, isl-t1a-atlva-acn-rt02, 192.168.201.33, GigabitEthernet0/0/1, 172.31.185.58,10,  apac,  
NEW JERSEY, nj-t1a-njyx-hcr01, 192.168.194.212, TE_5/1/2, 172.20.248.105,10, NEW JERSEY, nj-t1a-njyx-cr02, 192.168.194.4, TenGigabitEthernet8/1, 172.20.248.106,10,  americas,  
DALLAS, da-t1a-rt01, 192.168.187.33, GigabitEthernet2/2/3, 172.23.182.225,100, DALLAS, da-t1a-d0vx-hpe01, 192.168.247.23, GE_2/2/14, 172.23.182.226,100,  americas,  
ATLANTA, atl-t1a-a56x-hrt01, 192.168.194.149, GE_1/1/2, 172.31.236.169,15, ATLANTA, atl-t1a-rt01, 192.168.248.27, GigabitEthernet2/2/3, 172.31.236.170,15,  americas,  
SANTA CLARA, sc-t1a-cr03, 192.168.251.10, GigabitEthernet3/13, 172.23.250.126,15, SANTA CLARA, sc-t1a-s99x-hpe02, 192.168.251.11, GE_1/1/11, 172.23.250.125,15,  americas,  
PARIS, par-t1a-p96x-hcr01, 192.168.194.137, GE_5/2/1, 192.168.39.25,15, PARIS, par-t1a-rt03, 192.168.246.69, GigabitEthernet2/0/0, 192.168.39.26,15,  europe,  
Narita, nar-t1a-anrt1x-acn-rt01, 192.168.194.237, GigabitEthernet0/0/1, 172.26.10.245,65535, Narita, nar-t1a-anrt1x-acn-rt02, 192.168.194.238, GigabitEthernet0/0/1, 172.26.10.246,65535,  apac,  
NEW JERSEY, nj-t1a-njyx-cr02, 192.168.194.4, TenGigabitEthernet9/2, 172.28.147.94,10, NEW JERSEY, nj-t1a-njyx-hcr02, 192.168.201.196, TE_1/2/3, 172.28.147.93,10,  americas,  
MANILA, mla-t1a-p98x-hrt02, 192.168.201.144, TE_2/1/13, 172.28.129.122,10, MANILA, mla-t1a-p98x-hrt01, 192.168.201.145, TE_2/1/13, 172.28.129.121,10,  apac,  
HONGKONG, hk-t1a-cr02, 192.168.253.7, GigabitEthernet1/0/0, 172.31.25.93,15, HONGKONG, hk-t1a-rt09-ASBR, 192.168.253.8, GigabitEthernet1/0/0, 172.31.25.94,15,  apac,  
ZURICH, zu-t1a-rt01, 192.168.246.40, GigabitEthernet3/0/0, 192.168.39.81,10, ZURICH, zu-t1a-rt02, 192.168.246.41, GigabitEthernet3/0/0, 192.168.39.82,10,  europe,  
Vietnam2, vi2-t1a-yqlx-hrt01, 192.168.194.196, GE_2/1/15, 172.31.206.177,4600, HONGKONG, hk-t1a-h99x-hcr01, 192.168.194.49, GE_5/1/3, 172.31.206.178,4600,  apac,38.6
SYDNEY, sy-t1a-m3hx-hrt01, 192.168.194.43, TE_4/1/14, 172.28.138.17,10000, MELBOURNE, mlb-t1a-1mex-hrt01, 192.168.201.84, TE_1/1/14, 172.28.138.18,10000,  apac,11.1
COPENHAGEN, cop-t1a-acphb-hrt01, 192.168.201.99, TE_2/1/13, 172.31.84.29,4000, FRANKFURT, fft-t1a-fnm-hcr01, 192.168.247.12, TE_2/1/13, 172.31.84.30,4000,  europe,12.7
LUANDA, lua-t1a-alada-acn-rt02, 192.168.194.242, GigabitEthernet0/0/0, 172.31.210.62,64800, LUANDA, lua-t1a-7b5x-hrt01, 192.168.194.68, GE_1/9/4, 172.31.210.61,64800,  africa,  
GENEVA, gen-t1a-gvsx-hrt01, 192.168.194.161, GE_1/1/2, 172.31.36.53,400, ZURICH, zu-t1a-rt02, 192.168.246.41, GigabitEthernet3/0/3, 172.31.36.54,400,  europe,4
TORONTO, tor-t1a-t6ux-hrt01, 192.168.194.144, GE_3/1/3, 172.28.146.145,65535, TORONTO, tor-t1a-t6ux-rt04, 192.168.201.186, GigabitEthernet0/1/1, 172.28.146.146,65535,  americas,  
MIAMI, mia-t1a-mlnx-hpe02, 192.168.194.148, GE_5/1/1, 172.31.27.30,15, MIAMI, mia-t1a-rt05-ASBR, 192.168.248.31, GigabitEthernet1/0/1, 172.31.27.29,15,  americas,  
MIAMI, mia-t1a-mlnx-hpe02, 192.168.194.148, TE_5/1/13, 172.31.236.89,10, MIAMI, mia-t1a-rt01, 192.168.248.22, TenGigabitEthernet4/2, 172.31.236.90,10,  americas,  
TOKYO, tk-t1a-t0vx-hcr02, 192.168.201.191, GE_1/1/1, 172.28.139.74,10, TOKYO, tk-t1a-t0vx-hcr01, 192.168.253.174, GE_1/1/3, 172.28.139.73,10,  apac,  
MANILA, mla-t1a-p98x-hrt01, 192.168.201.145, GE_1/1/12, 172.31.163.249,65535, MANILA, mla-t1a-amnla-acn-rt02, 192.168.201.79, GigabitEthernet0/0/0, 172.31.163.250,65535,  apac,  
RIYADH, ryd-t1a-rt01, 192.168.252.232, GigabitEthernet4/0/2, 172.25.78.198,5000, DOHA, doh-t1a-rt01, 192.168.252.240, GigabitEthernet0/0/2, 172.25.78.197,5000,  middleast,13
NEW YORK, ny-t1a-n99x-hcr01, 192.168.194.136, GE_1/1/4, 172.20.248.154,30000, Brazil, brz-t1a-xxhx-hrt01, 192.168.201.26, GE_1/1/3, 172.20.248.153,30000,  americas,108
MANILA, mla-t1a-p98x-hrt02, 192.168.201.144, GE_1/1/7, 172.28.129.149,10, MANILA, mla-t1a-p98x-rt03, 192.168.201.153, GigabitEthernet1/0/0, 172.28.129.150,10,  apac,  
NEW JERSEY, nj-t1a-njyx-hcr01, 192.168.194.212, TE_1/1/14, 172.31.197.237,15, NEW JERSEY, nj-t1a-njyx-hpe01, 192.168.248.40, TE_1/1/13, 172.31.197.238,15,  americas,  
LOS ANGELES, la-t1a-rt02, 192.168.248.18, GigabitEthernet7/0/3, 172.25.78.110,15, LOS ANGELES, la-t1a-cr02, 192.168.248.30, GigabitEthernet3/9, 172.25.78.109,15,  americas,  
PARIS, par-t1a-pv0x-hpe01, 192.168.194.34, TE_2/1/4, 172.31.84.230,15, PARIS, par-t1a-p96x-hcr02, 192.168.201.120, TE_3/1/1, 172.31.84.229,15,  europe,  
CAPE TOWN, cap-t1a-eagx-hrt01, 192.168.194.178, GE_5/1/2, 172.31.237.249,10, CAPE TOWN, cap-t1a-eagx-hrt02, 192.168.194.179, GE_5/1/2, 172.31.237.250,10,  africa,  
SINGAPORE, si-t1a-svwx-hcr02, 192.168.194.131, GE_1/1/2, 172.31.25.29,10, SINGAPORE, si-t1a-rt01, 192.168.250.2, GigabitEthernet4/1/1, 172.31.25.30,10,  apac,  
SYDNEY, sy-t1a-1mhx-hrt02, 192.168.201.54, GE_5/1/1, 172.31.248.41,10, SYDNEY, sy-t1a-rt03, 192.168.252.3, GigabitEthernet4/0/3, 172.31.248.42,10,  apac,  
FRANKFURT, fft-t1a-fnm-hcr01, 192.168.247.12, GE_3/1/7, 172.31.194.86,15, FRANKFURT, fft-t1a-rt07-ASBR, 192.168.254.38, GigabitEthernet0/0/1, 172.31.194.85,15,  europe,  
