Location,hostname,hostIP,interface,InterfaceIP,,Location,hostname,hostIP,interface,InterfaceIP,,Region,
SINGAPORE2, si2-t1a-svqx-hcr01, 192.168.194.47, GE_1/1/3, 172.31.25.118,15, SINGAPORE2, si2-t1a-rt01, 192.168.250.10, GigabitEthernet8/0/1, 172.31.25.117,15,  apac,  
MUSCAT, mus-t1a-OB6x-hrt01, 192.168.194.109, STM1_1/10/1, 172.31.239.21,20000, FUJAIRAH, fuj-t1a-hrt01, 192.168.252.229, STM1_5/1/7, 172.31.239.22,20000,  middleast,4.68
PARIS, par-t1a-p96x-hcr01, 192.168.194.137, GE_1/1/5, 172.31.237.86,3510, MILAN, mil-t1a-rt02, 192.168.246.153, GigabitEthernet2/2/2, 172.31.237.85,3510,  europe,12
PARIS, par-t1a-p96x-hcr02, 192.168.201.120, GE_1/1/2, 172.31.84.237,15, PARIS, par-t1a-rt03, 192.168.246.69, GigabitEthernet7/0/0, 172.31.84.238,15,  europe,  
MIAMI, mia-t1a-rt01, 192.168.248.22, GigabitEthernet3/1/4, 172.31.27.34,15, MIAMI, mia-t1a-rt05-ASBR, 192.168.248.31, GigabitEthernet0/0/0, 172.31.27.33,15,  americas,  
MOSCOW, mos-t1a-rt01, 192.168.246.72, GigabitEthernet3/0/0, 172.31.102.17,10, MOSCOW, mos-t1a-rt02, 192.168.246.73, GigabitEthernet3/0/0, 172.31.102.18,10,  europe,  
HIGH BRIDGE, hbg-t1a-hb9x-hrt01, 192.168.194.13, TE_5/1/14, 172.31.254.166,500, CRESSEX, crx-t1a-hw1x-hrt02, 192.168.194.45, TE_5/1/14, 172.31.254.165,500,  europe,2.66
HIGH BRIDGE, hbg-t1a-hb9x-hrt01, 192.168.194.13, STM4_3/1/10, 172.31.59.178,65535, PARIS2, par2-t1a-rt01, 192.168.246.67, POS2/1/0, 172.31.59.177,65535,  europe,  
HONGKONG, hk-t1a-h99x-hcr01, 192.168.194.49, TE_3/1/3, 172.28.138.121,4000, SEOUL3, seo3-t1a-OO8x-hrt01, 192.168.194.89, TE_1/1/14, 172.28.138.122,4000,  apac,37
MOROCCO, mor-t1a-52wx-hrt02, 192.168.201.74, GE_2/1/25, 172.31.185.249,50000, PARIS2, par2-t1a-rt01, 192.168.246.67, GigabitEthernet3/2/3, 172.31.185.250,50000,  europe,52
PARIS, par-t1a-p96x-hcr01, 192.168.194.137, STM1_5/1/1, 172.31.59.10,10100, MADRID, ma-t1a-wv6x-hrt01, 192.168.194.22, STM1_3/1/1, 172.31.59.9,10100,  europe,31.6
FRANKFURT, fft-t1a-fnmx-hcr02, 192.168.194.139, TE_5/1/13, 172.26.11.222,10, FRANKFURT, fft-t1a-fnm-hcr01, 192.168.247.12, TE_2/2/2, 172.26.11.221,10,  europe,  
PARIS, par-t1a-p96x-hcr02, 192.168.201.120, TE_3/1/2, 172.31.185.1,2000, PARIS2, par2-t1a-rt01, 192.168.246.67, TenGigabitEthernet4/1, 172.31.185.2,2000,  europe,1
SANTA CLARA, sc-t1a-sv1x-hcr01, 192.168.194.203, TE_1/1/14, 172.31.202.21,10, SANTA CLARA, sc-t1a-cr03, 192.168.251.10, TenGigabitEthernet2/2, 172.31.202.22,10,  americas,  
MADRID, ma-t1a-wv6x-hrt01, 192.168.194.22, GE_1/1/9, 172.31.185.242,50000, MOROCCO, mor-t1a-52wx-hrt01, 192.168.201.61, GE_2/1/25, 172.31.185.241,50000,  europe,21.5
OSAKA, osa-t1a-rt01, 192.168.253.41, GigabitEthernet3/0/0, 192.168.37.241,10, OSAKA, osa-t1a-rt02, 192.168.253.42, GigabitEthernet2/0/0, 192.168.37.242,10,  apac,  
KARACHI, kar-t1a-rt01, 192.168.246.178, POS0/3/1, 172.31.82.165,50000, FUJAIRAH, fuj-t1a-hrt01, 192.168.252.229, STM1_4/1/15, 172.31.82.166,50000,  middleast,19
SYDNEY, sy-t1a-m3hx-hrt01, 192.168.194.43, GE_1/1/8, 172.31.248.37,10, SYDNEY, sy-t1a-rt01, 192.168.252.1, GigabitEthernet4/1/3, 172.31.248.38,10,  apac,  
NEW YORK, ny-t1a-cr03, 192.168.248.75, TenGigabitEthernet1/1, 172.28.147.38,65535, NEW YORK, ny-t1a-n99x-hpe02, 192.168.248.79, TE_3/1/13, 172.28.147.37,65535,  americas,  
FRANKFURT, fft-t1a-fnmx-hcr02, 192.168.194.139, TE_1/2/4, 172.31.237.110,1500, MUNICH, mun-t1a-mu1x-hrt01, 192.168.194.169, TE_1/1/13, 172.31.237.109,1500,  europe,6.18
Johannesburg2, job2-t1a-jhbx-hrt01, 192.168.194.177, GE_5/1/6, 172.28.128.97,65535, JOHANNESBURG, jo-t1a-ajnba-acn-rt02, 192.168.201.80, GigabitEthernet0/0/0, 172.28.128.98,65535,  africa,1
ZURICH, zu-t1a-rt01, 192.168.246.40, GigabitEthernet2/1/0, 172.26.10.85,10, ZURICH, zu-t1a-rt02, 192.168.246.41, GigabitEthernet2/1/0, 172.26.10.86,10,  europe,  
SYDNEY, sy-t1a-m3hx-hrt01, 192.168.194.43, TE_3/2/2, 172.28.138.189,12000, SINGAPORE, si-t1a-hcr01, 192.168.250.14, TE_4/1/3, 172.28.138.190,12000,  apac,91.3
SANTA CLARA, sc-t1a-sv1x-hcr01, 192.168.194.203, TE_5/1/1, 172.31.197.185,15, SANTA CLARA, sc-t1a-s99x-hpe02, 192.168.251.11, TE_10/1/14, 172.31.197.186,15,  americas,  
WARSAW, wa-t1a-wznx-hrt01, 192.168.201.178, TE_1/1/13, 172.28.141.14,65535, WARSAW, wa-t1a-wznx-hrt02, 192.168.201.179, TE_1/1/13, 172.28.141.13,65535,  europe,  
PARIS, par-t1a-p96x-hcr01, 192.168.194.137, TE_2/2/2, 172.29.213.125,10, PARIS, par-t1a-p96x-hcr02, 192.168.201.120, TE_1/1/14, 172.29.213.126,10,  europe,  
NEW YORK, ny-t1a-rt05, 192.168.248.6, GigabitEthernet8/2/3, 172.31.27.253,15, NEW YORK, ny-t1a-cr03, 192.168.248.75, GigabitEthernet3/6, 172.31.27.254,15,  americas,  
NEW YORK, ny-t1a-n99x-hcr01, 192.168.194.136, GE_5/1/12, 172.31.197.34,19000, Toronto2, tor2-t1a-tttx-hrt01, 192.168.194.187, GE_5/1/2, 172.31.197.33,19000,  americas,11.8
MILAN, mil-t1a-itmx-hrt01, 192.168.194.163, GE_1/1/2, 172.31.237.81,10, MILAN, mil-t1a-rt02, 192.168.246.153, GigabitEthernet3/0/3, 172.31.237.82,10,  europe,  
HONGKONG, hk-t1a-h99x-hcr01, 192.168.194.49, TE_3/1/1, 172.31.82.158,15, HONGKONG, hk-t1a-h99x-hpe02, 192.168.201.121, TE_1/1/13, 172.31.82.157,15,  apac,  
SEOUL2, seo2-t1a-OO7x-hrt01, 192.168.194.76, TE_5/1/13, 172.31.206.201,4000, TOKYO, tk-t1a-t0vx-hcr01, 192.168.253.174, TE_2/2/4, 172.31.206.202,4000,  apac,29.7
FRANKFURT, fft-t1a-fnmx-hcr02, 192.168.194.139, GE_5/1/5, 172.31.26.114,15, FRANKFURT, fft-t1a-rt07-ASBR, 192.168.254.38, GigabitEthernet1/0/2, 172.31.26.113,15,  europe,  
Brazil, brz-t1a-xxhx-hrt01, 192.168.201.26, GE_5/1/3.105, 172.28.146.98,31000, MIAMI, mia-t1a-rt01, 192.168.248.22, GigabitEthernet2/1/2.105, 172.28.146.97,31000,  americas,104
