,Location,hostname,interface,hostname.1,interface.1,_merge
1105,DOHA-I,DOH-T1A-RT01,POS0/1/0,BAH-T1A-HRT01,P1/12/2,right_only
1106,DOHA-I,DOH-T1A-RT01,GI0/0/2,RYD-T1A-RT01,GI4/0/2,right_only
1107,DOHA-I,DOH-T1A-RT01,POS0/2/0,DOH2-T1A-UN4X-HRT01,P1/2/9,right_only
1108,DOHA-II,DOH2-T1A-UN4X-HRT01,P1/2/9,DOH-T1A-RT01,POS0/2/0,right_only
1109,DOHA-II,DOH2-T1A-UN4X-HRT01,P5/2/9,FUJ-T1A-HRT01,P5/1/9,right_only
1110,FUJAIRAH,FUJ-T1A-HRT01,P5/1/1,RYD-T1A-RT01,POS3/1/1,right_only
1111,FUJAIRAH,FUJ-T1A-HRT01,P4/1/3,MU-ME01-HCR01,P10/2/16,right_only
1112,FUJAIRAH,FUJ-T1A-HRT01,P5/1/11,DU-T1A-RT01,POS9/0/0,right_only
1113,FUJAIRAH,FUJ-T1A-HRT01,P2/1/3,NAI2-T1A-HRT01,P1/8/5,right_only
1114,FUJAIRAH,FUJ-T1A-HRT01,P5/1/9,DOH2-T1A-UN4X-HRT01,P5/2/9,right_only
1115,FUJAIRAH,FUJ-T1A-HRT01,P2/1/5,DJI-T1A-YPQX-HRT01,P2/1/17,right_only
1116,FUJAIRAH,FUJ-T1A-HRT01,P4/1/15,KAR-T1A-RT01,POS0/3/1,right_only
1117,FUJAIRAH,FUJ-T1A-HRT01,P5/1/7,MUS-T1A-OB6X-HRT01,P1/10/1,right_only
1118,RIYADH,RYD-T1A-RT01,GI3/0/1,MU-ME01-HCR01,P8/1/19,right_only
1119,RIYADH,RYD-T1A-RT01,POS3/1/1,FUJ-T1A-HRT01,P5/1/1,right_only
1120,RIYADH,RYD-T1A-RT01,POS3/1/0,BAH-T1A-HRT01,P1/11/1,right_only
1121,RIYADH,RYD-T1A-RT01,GI4/0/2,DOH-T1A-RT01,GI0/0/2,right_only
1122,MUSCAT,MUS-T1A-OB6X-HRT01,P1/5/2,MU-ME01-HABR01,P10/1/3,right_only
1123,MUSCAT,MUS-T1A-OB6X-HRT01,P1/10/1,FUJ-T1A-HRT01,P5/1/7,right_only
1124,DUBAI,DU-T1A-RT01,GI9/3/1,DU-T1A-RT03,GI9/3/1,right_only
1125,DUBAI,DU-T1A-RT01,GI40/0/0,DU-T1A-RT03,GI4/0/0,right_only
1126,DUBAI,DU-T1A-RT01,POS9/0/0,FUJ-T1A-HRT01,P5/1/11,right_only
1127,DUBAI,DU-T1A-RT01,POS9/2/0,LN-T1A-HCR01,P5/1/2,right_only
1128,DUBAI,DU-T1A-RT03,GI9/3/1,DU-T1A-RT01,GI9/3/1,right_only
1129,DUBAI,DU-T1A-RT03,GI4/0/0,DU-T1A-RT01,GI40/0/0,right_only
1130,DUBAI,DU-T1A-RT03,POS9/2/0,PAR-T1A-P96X-HCR02,P5/2/1,right_only
1131,DUBAI,DU-T1A-RT03,POS9/1/0,MU-ME01-HCR02,P2/2/10,right_only
1132,CAPETOWN,CAP-T1A-RT01,GIGABITETHERNET0/1,CAP-T1A-RT02,GIGABITETHERNET0/1,right_only
1133,CAPETOWN,CAP-T1A-RT01,GIGABITETHERNET0/3,CAP-T1A-EAGX-HRT01,GE_1/1/4,right_only
1134,CAPETOWN,CAP-T1A-RT01,GIGABITETHERNET0/1,CAP-T1A-RT01,GIGABITETHERNET0/1,right_only
1135,CAPETOWN,CAP-T1A-RT01,GIGABITETHERNET0/3,LN-T1A-HCR01,GE_3/1/4,right_only
1136,CAPETOWN,CAP-T1A-EAGX-HRT01,GE_1/1/4,CAP-T1A-RT01,GIGABITETHERNET0/3,right_only
1137,CAPETOWN,CAP-T1A-EAGX-HRT01,GE_1/1/1,JOB-T1A-EOPX-HRT01,GE_5/1/1,right_only
1138,CAPETOWN,CAP-T1A-EAGX-HRT01,GE_1/1/2,CAP-T1A-EAGX-HRT02,GE_1/1/2,right_only
1139,CAPETOWN,CAP-T1A-EAGX-HRT01,GE_5/1/2,CAP-T1A-EAGX-HRT02,GE_5/1/2,right_only
1140,CAPETOWN,CAP-T1A-EAGX-HRT01,STM4_3/2/9,LN-T1A-HCR01,STM4_4/2/16,right_only
1141,CAPETOWN,CAP-T1A-EAGX-HRT01,GE_5/1/6,CAP-T1A-ACPTA-ACN-RT01,GIGABITETHERNET0/0/0,right_only
1142,CAPETOWN,CAP-T1A-EAGX-HRT02,GE_1/1/2,CAP-T1A-EAGX-HRT01,GE_1/1/2,right_only
1143,CAPETOWN,CAP-T1A-EAGX-HRT02,GE_5/1/1,DUR-T1A-EAOX-HRT01,GE_5/1/1,right_only
1144,CAPETOWN,CAP-T1A-EAGX-HRT02,GE_5/1/2,CAP-T1A-EAGX-HRT01,GE_5/1/2,right_only
1145,JOHANNESBURG,JO-T1A-RT01,GIGABITETHERNET7/0/4,JOB-T1A-EOPX-HRT01,GE_5/1/4,right_only
1146,JOHANNESBURG,JO-T1A-RT01,GIGABITETHERNET7/0/3,MAP-T1A-1Z9X-HRT01,GE_1/3/1,right_only
1147,JOHANNESBURG,JO-T1A-RT01,GIGABITETHERNET3/0/0,LN-T1A-L78X-HCR02,GE_5/1/11,right_only
1148,JOHANNESBURG,JOB-T1A-EOPX-HRT01,GE_1/1/1,JOB2-T1A-JHBX-HRT01,GE_5/1/1,right_only
1149,JOHANNESBURG,JOB-T1A-EOPX-HRT01,GE_5/1/1,CAP-T1A-EAGX-HRT01,GE_1/1/1,right_only
1150,JOHANNESBURG,JOB-T1A-EOPX-HRT01,GE_1/1/2,MU-ME01-HCR02,GE_8/2/8,right_only
1151,JOHANNESBURG,JOB-T1A-EOPX-HRT01,GE_5/1/1,JOB-T1A-EOPX-HRT01,GE_1/1/1,right_only
1152,JOHANNESBURG,JOB-T1A-EOPX-HRT01,GE_1/1/1,DUR-T1A-EAOX-HRT01,GE_1/1/1,right_only
1153,JOHANNESBURG,JOB-T1A-EOPX-HRT01,GE_5/1/6,JO-T1A-AJNBA-ACN-RT02,GIGABITETHERNET0/0/0,right_only
1154,DURBAN,DUR-T1A-EAOX-HRT01,GE_2/2/9,PAR-T1A-P96X-HCR01,GE_5/1/15,right_only
1155,DAR-ES-SALAM,DAR-T1A-HRT01,GE_1/7/2,KAM-T1A-HRT01,GE_1/1/2,right_only
1156,DAR-ES-SALAM,DAR-T1A-HRT01,STM1_1/12/1,JO-T1A-RT01,POS3/2/1,right_only
1157,DAR-ES-SALAM,DAR-T1A-HRT01,STM1_1/11/1,MU-ME01-HCR02,STM1_2/2/4,right_only
1158,ACCRA,GH-T1A-RT01,POS1/3/1,LN-T1A-L78X-HCR02,STM1_1/2/1,right_only
1159,ACCRA,GH-T1A-RT01,POS0/3/0,LAG-T1A-RT01,POS0/1/2,right_only
1160,ACCRA,GH-T1A-RT02,NO OSPF NEIGHBOR,NAN,NAN,right_only
1161,HARARE,HAR-T1A-HRT01,GE_1/7/2,JO-T1A-RT01,GIGABITETHERNET7/0/1,right_only
1162,HARARE,HAR-T1A-HRT01,GE_1/7/3,GAB-T1A-7B6X-HRT01,GE_1/7/3,right_only
1163,LAGOS,LAG-T1A-RT01,POS0/1/2,GH-T1A-RT01,PO0/3/0,right_only
1164,LAGOS,LAG-T1A-RT01,POS1/1/0,LN-T1A-HCR01,STM1_4/2/3,right_only
1165,LUSAKA,LUS-T1A-HRT01,NAN,NAN,NAN,right_only
1166,NAIROBI,NAI-T1A-RT01,GIGABITETHERNET3/0/0,LN-T1A-L78X-HCR02,GE_5/1/4,right_only
1167,NAIROBI,NAI-T1A-RT01,GIGABITETHERNET4/0/0,MU-ME01-HCR01,1/2/12,right_only
1168,NAIROBI 2,NAI2-T1A-HRT01,GE_1/7/4,NAI-T1A-RT01,GIGABITETHERNET4/0/2,right_only
1169,NAIROBI 2,NAI2-T1A-HRT01,GE_1/8/4,KAM-T1A-HRT01,GE_1/1/3,right_only
1170,NAIROBI 2,NAI2-T1A-HRT01,STM1_1/12/1,MU-ME01-HCR01,STM1_10/2/4,right_only
1171,NAIROBI 5,NAI2-T1A-HRT01,GE_1/8/5,FUJ-T1A-HRT01,GE_2/1/3,right_only
1172,WINDHOEK,NAM-T1A-XTNX-HRT01,GE_1/10/1,JOB2-T1A-JHBX-HRT01,GE_5/1/4,right_only
1173,LUANDA,LUA-T1A-7B5X-HRT01,GE_1/9/4,LUA-T1A-ALADA-ACN-RT02,GIGABITETHERNET0/0/0,right_only
1174,LUANDA,LUA-T1A-7B5X-HRT01,GE_1/7/5,LN2-T1A-LDNX-HRT01,GE_4/1/6,right_only
1175,LUANDA,LUA-T1A-7B5X-HRT01,GE_1/10/1,LN2-T1A-LDNX-HRT02,GE_1/1/1,right_only
1176,LUANDA,LUA-T1A-7B5X-HRT01,GE_1/9/5,LUA-T1A-ALADA-ACN-RT01,GIGABITETHERNET0/0/0,right_only
1177,GABORONE,GAB-T1A-7B6X-HRT01,GE_1/3/1,JOB-T1A-EOPX-HRT01,GE_2/2/1,right_only
1178,MAPUTO,MAP-T1A-1Z9X-HRT01,GE_1/7/3,JOB2-T1A-JHBX-HRT01,GE_1/1/4,right_only
1179,ABIDJAN,ABI-T1A-V38X-HRT01,GE_1/3/1,LN-T1A-HCR01,GE_2/1/7,right_only
1180,CAIRO,CAI-T1A-WE7X-HRT01,STM1_1/6/1,LN-T1A-HCR01,STM1_4/2/15,right_only
1181,CAIRO,CAI-T1A-WE7X-HRT01,STM1_1/10/1,MU-ME01-HCR02,STM1_2/2/2,right_only
1182,DJIBOUTI,DJI-T1A-YPQX-HRT01,GE_1/1/17,LN-T1A-HCR01,GE_3/1/8,right_only
1183,DJIBOUTI,DJI-T1A-YPQX-HRT01,GE_2/1/17,FUJ-T1A-HRT01,GE_2/1/5,right_only
1184,JOHANNESBURG II,JOB2-T1A-JHBX-HRT01,GE_1/1/1,DUR-T1A-EAOX-HRT01,GE_1/1/1,right_only
1185,JOHANNESBURG II,JOB2-T1A-JHBX-HRT01,GE_5/1/1,JOB-T1A-EOPX-HRT01,GE_1/1/1,right_only
1186,JOHANNESBURG II,JOB2-T1A-JHBX-HRT01,GE_5/1/6,JO-T1A-AJNBA-ACN-RT02,GIGABITETHERNET0/0/0,right_only
1187,JOHANNESBURG II,JOB2-T1A-JHBX-HRT01,GE_1/1/4,MAP-T1A-1Z9X-HRT01,GE_1/7/3,right_only
1188,JOHANNESBURG II,JOB2-T1A-JHBX-HRT01,GE_5/1/4,NAM-T1A-XTNX-HRT01,GE_1/10/1,right_only
1189,AUCKLAND,AUK-T1A-RT01,GI1/0/2,SY2-T1A-0PPX-HRT01,GE_5/1/4,right_only
1190,AUCKLAND,AUK-T1A-RT01,GI1/0/2,SY2-T1A-0PPX-HRT01,GE_5/1/4,right_only
1191,AUCKLAND,AUK-T1A-RT01,GIGABITETHERNET0/0/2,SY-T1A-RT03,GIGABITETHERNET3/1/3,right_only
1192,DHAKA,DHA-T1A-RT01,GIGABITETHERNET1/0/1,SI2-T1A-SVQX-HCR01,GE_1/1/6,right_only
1193,DHAKA,DHA-T1A-RT01,SERIAL0/1/1,KK-ME01-HCR01,DS3_3/1/9,right_only
1194,EMI,EMI-T1A-CR01,TENGIGABITETHERNET4/2,SI2-T1A-SVQX-HCR01,TE_5/2/2,right_only
1195,EMI,EMI-T1A-CR01,TENGIGABITETHERNET9/1,HK2-T1A-KTHX-HRT02,P 3/1/14,right_only
1196,EMI,EMI-T1A-CR01,TENGIGABITETHERNET9/2,LA-T1A-27GX-HPE01,TE_2/2/1,right_only
1197,EMI,EMI-T1A-CR01,POS1/1/0,TK2-T1A-RT01,POS1/1/1,right_only
1198,EMI,EMI-T1A-CR01,TENGIGABITETHERNET7/1,TK-T1A-CR02,TENGIGABITETHERNET7/1,right_only
1199,HONGKONG,HK-T1A-CR02,TENGIGABITETHERNET9/1,SI-T1A-SVWX-HCR02,TE_2/1/4,right_only
1200,HONGKONG,HK-T1A-CR02,GIGABITETHERNET7/0/3,HK-T1A-RT07-NNI,GIGABITETHERNET0/1,right_only
1201,HONGKONG,HK-T1A-CR02,TENGIGABITETHERNET2/1,HK-T1A-H99X-HPE01,TE_1/1/13,right_only
1202,HONGKONG,HK-T1A-CR02,TENGIGABITETHERNET3/1,HK-T1A-H99X-HCR01,TE_1/1/13,right_only
1203,HONGKONG,HK-T1A-CR02,TENGIGABITETHERNET2/2,HK-T1A-H99X-HCR01,TE_5/1/14,right_only
1204,HONGKONG,HK-T1A-CR02,GIGABITETHERNET1/0/2,HK-T1A-RT01,GIGABITETHERNET2/1/2,right_only
1205,HONGKONG,HK-T1A-CR02,GIGABITETHERNET7/0/4,HK-T1A-RT01,GIGABITETHERNET9/0/1,right_only
1206,HONGKONG,HK-T1A-CR02,GIGABITETHERNET1/0/3,HK-T1A-RT02-PE,GIGABITETHERNET4/0/0,right_only
1207,HONGKONG,HK-T1A-CR02,GIGABITETHERNET1/0/1,HK-T1A-RT08-PE,GIGABITETHERNET1/0/1,right_only
1208,HONGKONG,HK-T1A-CR02,GIGABITETHERNET7/0/2,HK-T1A-RT08-PE,GIGABITETHERNET1/0/2,right_only
1209,HONGKONG,HK-T1A-RT01,GIGABITETHERNET9/0/4,HK-T1A-H99X-HCR01,GE_1/1/2,right_only
1210,HONGKONG,HK-T1A-RT01,GIGABITETHERNET9/0/3,HK-T1A-H99X-HCR01,GE_1/1/1,right_only
1211,HONGKONG,HK-T1A-RT01,GIGABITETHERNET8/1,HK-T1A-RT03,GIGABITETHERNET0/1,right_only
1212,HONGKONG,HK-T1A-RT01,GIGABITETHERNET9/0/1,HK-T1A-CR02,GIGABITETHERNET7/0/4,right_only
1213,HONGKONG,HK-T1A-RT01,GIGABITETHERNET2/1/2,HK-T1A-CR02,GIGABITETHERNET1/0/2,right_only
1214,HONGKONG,HK-T1A-RT03,GIGABITETHERNET0/1,HK-T1A-RT01,GIGABITETHERNET8/1,right_only
1215,HONGKONG,HK-T1A-RT07-NNI,GIGABITETHERNET0/1,HK-T1A-CR02,GIGABITETHERNET7/0/3,right_only
1216,HONGKONG,HK-T1A-RT07-NNI,GIGABITETHERNET0/3,HK-T1A-H99X-HCR01,GE_1/1/5,right_only
1217,HONGKONG,HK-T1A-RT08-PE,GIGABITETHERNET4/5,HK-T1A-H99X-HPE02,GE_1/1/8,right_only
1218,HONGKONG,HK-T1A-RT08-PE,GIGABITETHERNET4/6,HK-T1A-H99X-HPE02,GE_1/1/7,right_only
1219,HONGKONG,HK-T1A-RT08-PE,GIGABITETHERNET3/0/4,HK-T1A-H99X-HCR01,GE_5/1/2,right_only
1220,HONGKONG,HK-T1A-RT08-PE,GIGABITETHERNET3/0/3,HK-T1A-H99X-HCR01,GE_5/1/1,right_only
1221,HONGKONG,HK-T1A-RT08-PE,GIGABITETHERNET2/0/0,HK-T1A-RT02-PE,GIGABITETHERNET4/0/3,right_only
1222,HONGKONG,HK-T1A-RT09-ASBR,GIGABITETHERNET0/1/2,HK-T1A-H99X-HCR01,GE_1/1/4,right_only
1223,HONGKONG,HK-T1A-RT09-ASBR,GIGABITETHERNET0/1/1,HK-T1A-H99X-HCR01,GE_1/1/3,right_only
1224,HONGKONG,HK-T1A-RT09-ASBR,GIGABITETHERNET1/0/1,HK-T1A-CR02,GIGABITETHERNET7/0/0,right_only
1225,HONGKONG,HK-T1A-RT09-ASBR,GIGABITETHERNET1/0/0,HK-T1A-CR02,GIGABITETHERNET1/0/0,right_only
1226,HONGKONG,HK-T1A-H99X-HCR01,GE_1/1/2,HK-T1A-RT01,GIGABITETHERNET9/0/4,right_only
1227,HONGKONG,HK-T1A-H99X-HCR01,GE_1/1/1,HK-T1A-RT01,GIGABITETHERNET9/0/3,right_only
1228,HONGKONG,HK-T1A-H99X-HCR01,GE_5/1/4,HK-T1A-RT02-PE,GIGABITETHERNET4/0/2,right_only
1229,HONGKONG,HK-T1A-H99X-HCR01,GE_1/1/5,HK-T1A-RT07-NNI,GIGABITETHERNET0/3,right_only
1230,HONGKONG,HK-T1A-H99X-HPE01,TE_10/1/13,HK-T1A-H99X-HCR01,TE_5/1/13,right_only
1231,HONGKONG,HK-T1A-H99X-HPE02,TE_1/1/13,HK-T1A-H99X-HCR01,TE_4/1/4,right_only
1232,HONGKONG,HK-T1A-H99X-HCR01,GE_5/1/3,VI2-T1A-YQLX-HRT01,GE_2/1/15,right_only
1233,HONGKONG,HK-T1A-H99X-HCR01,P 5/2/10,TAI-T1A-RT01,POS2/0/0,right_only
1234,HONGKONG,HK-T1A-H99X-HCR01,P-1/1/8,BNK2-T1A-C9VX-HRT01,GE_1/3/1,right_only
1235,HONGKONG,HK-T1A-H99X-HCR01,3/1/4,MLA2-T1A-GX0X-HRT01,TE_5/1/13,right_only
1236,HONGKONG,HK-T1A-H99X-HCR01,4/1/3,SEO2-T1A-OO7X-HRT01,TE_1/1/14,right_only
1237,HONGKONG II,HK2-T1A-RT01,GIGABITETHERNET3/0/1,HK2-T1A-RT02,GIGABITETHERNET3/0/1,right_only
1238,HONGKONG II,HK2-T1A-RT01,GIGABITETHERNET3/0/0,HK2-T1A-RT02,GIGABITETHERNET3/0/0,right_only
1239,HONGKONG II,HK2-T1A-RT01,TENGIGABITETHERNET8/2,HK2-T1A-KTHX-HRT01,TE_1/1/13,right_only
1240,HONGKONG II,HK2-T1A-RT01,GIGABITETHERNET4/1/2,HK2-T1A-RT02,GIGABITETHERNET4/0/2,right_only
1241,HONGKONG II,HK2-T1A-RT01,GIGABITETHERNET4/1/1,HK2-T1A-RT02,GIGABITETHERNET4/0/1,right_only
1242,HONGKONG II,HK2-T1A-KTHX-HRT01,TE_1/1/13,HK2-T1A-RT01,TENGIGABITETHERNET8/2,right_only
1243,HONGKONG II,HK2-T1A-KTHX-HRT01,TE_1/1/14,HK2-T1A-KTHX-HRT02,TE_1/1/13,right_only
1244,HONGKONG II,HK2-T1A-KTHX-HRT01,TE_5/1/14,HK2-T1A-KTHX-HRT02,TE_3/1/13,right_only
1245,HONGKONG II,HK2-T1A-KTHX-HRT01,TE_5/1/13,SI2-T1A-SVQX-HCR01,TE_5/2/3,right_only
1246,HONGKONG II,HK2-T1A-RT02,GIGABITETHERNET3/0/1,HK2-T1A-RT01,GIGABITETHERNET3/0/1,right_only
1247,HONGKONG II,HK2-T1A-RT02,GIGABITETHERNET3/0/0,HK2-T1A-RT01,GIGABITETHERNET3/0/0,right_only
1248,HONGKONG II,HK2-T1A-RT02,GIGABITETHERNET4/0/2,HK2-T1A-RT01,GIGABITETHERNET4/1/2,right_only
1249,HONGKONG II,HK2-T1A-RT02,GIGABITETHERNET4/0/1,HK2-T1A-RT01,GIGABITETHERNET4/1/1,right_only
1250,HONGKONG II,HK2-T1A-RT02,GIGABITETHERNET4/0/4,HK2-T1A-KTHX-HRT02,GE_3/1/3,right_only
1251,HONGKONG II,HK2-T1A-RT02,GIGABITETHERNET4/0/3,HK2-T1A-KTHX-HRT02,GE_1/1/3,right_only
1252,HONGKONG II,HK2-T1A-KTHX-HRT02,TE_1/1/13,HK2-T1A-KTHX-HRT01,TE_1/1/14,right_only
1253,HONGKONG II,HK2-T1A-KTHX-HRT02,TE_3/1/13,HK2-T1A-KTHX-HRT01,TE_5/1/14,right_only
1254,HONGKONG II,HK2-T1A-KTHX-HRT02,GE_3/1/3,HK2-T1A-RT02,GIGABITETHERNET4/0/4,right_only
1255,HONGKONG II,HK2-T1A-KTHX-HRT02,GE_1/1/3,HK2-T1A-RT02,GIGABITETHERNET4/0/3,right_only
1256,HONGKONG II,HK2-T1A-KTHX-HRT02,TE_3/1/14,EMI-T1A-CR01,TENGIGABITETHERNET9/1,right_only
1257,HONGKONG II,HK2-T1A-KTHX-HRT02,TE_1/1/14,HK-T1A-H99X-HCR01,TE_4/1/2,right_only
1258,JAKARTA,JK-T1A-RT01,POS1/1/1,SI2-T1A-SVQX-HCR01,STM1_1/2/2,right_only
1259,JAKARTA,JK-T1A-RT01,POS1/1/0,SI2-T1A-SVQX-HCR01,STM1_1/2/1,right_only
1260,JAKARTA,JK-T1A-RT01,GIGABITETHERNET1/0/2,JK2-T1A-IJNX-RT01,GIGABITETHERNET1/0/1,right_only
1261,JAKARTA II,JK2-T1A-IJNX-RT01,GIGABITETHERNET1/0/1,JK-T1A-RT01,POS1/1/0,right_only
1262,JAKARTA II,JK2-T1A-IJNX-RT01,POS1/1/1,SI-T1A-HCR01,STM1_5/2/2,right_only
1263,JAKARTA II,JK2-T1A-IJNX-RT01,POS1/1/0,SI-T1A-HCR01,STM1_5/2/1,right_only
1264,KUALALUMPUR II,KL2-T1A-KT1X-HRT01,GE_1/1/1,KL-T1A-KVDX-HRT01,GE_2/1/6,right_only
1265,KUALALUMPUR II,KL2-T1A-KT1X-HRT01,GE_1/1/6,KL-T1A-YUQX-ACN-RT01,GIGABITETHERNET0/2/1,right_only
1266,KUALALUMPUR II,KL2-T1A-KT1X-HRT01,GE_1/1/5,KL-T1A-KVDX-HRT01,GE_1/1/8,right_only
1267,KUALALUMPUR II,KL2-T1A-KT1X-HRT01,GE_5/1/3,SI-T1A-SVWX-HCR02,GE_1/1/6,right_only
1268,KUALALUMPUR,KL-T1A-KVDX-HRT01,GE_2/1/6,KL2-T1A-KT1X-HRT01,GE_1/1/1,right_only
1269,KUALALUMPUR,KL-T1A-KVDX-HRT01,GE_1/1/8,KL2-T1A-KT1X-HRT01,GE_1/1/5,right_only
1270,KUALALUMPUR,KL-T1A-KVDX-HRT01,GE_1/1/6,SI2-T1A-SVQX-HCR02,GE_1/1/1,right_only
1271,KUALALUMPUR,KL-T1A-KVDX-HRT01,GE_1/1/10,KL-T1A-KKZX-ACN-RT01,GIGABITETHERNET0/2/1,right_only
1272,KUALALUMPUR,KL-T1A-KVDX-HRT01,GE_1/1/9,KL-T1A-KVDX-RT03,GIGABITETHERNET0/0/0,right_only
1273,KUALALUMPUR,KL-T1A-KVDX-HRT01,GE_2/1/9,KL-T1A-KVDX-RT03,GIGABITETHERNET1/0/0,right_only
1274,MELBOURNE,MLB-T1A-1MEX-HRT01,TE_1/1/14,SY-T1A-M3HX-HRT01,TE_4/1/14,right_only
1275,MELBOURNE,MLB-T1A-1MEX-HRT01,TE_5/1/14,MLB2-T1A-JN1X-HRT01,TE_2/2/14,right_only
1276,MELBOURNE,MLB-T1A-RT01,GIGABITETHERNET7/0/4,MLB-T1A-1MEX-HRT01,GE_1/1/11,right_only
1277,MELBOURNE,MLB-T1A-RT01,GIGABITETHERNET3/0/1,MLB-T1A-1MEX-HRT01,GE_5/1/1,right_only
1278,MELBOURNE II,MLB2-T1A-JN1X-HRT01,P 3/1/4,SY2-T1A-0PPX-HRT01,P 1/1/14,right_only
1279,OSAKA,OSA-T1A-RT01,GIGABITETHERNET2/0/4,TK-T1A-T0VX-HCR01,GE_1/1/8,right_only
1280,OSAKA,OSA-T1A-RT02,GIGABITETHERNET2/0/1,OSA-T1A-RT01,GIGABITETHERNET2/0/4,right_only
1281,OSAKA,OSA-T1A-RT02,GIGABITETHERNET2/0/0,OSA-T1A-RT01,GIGABITETHERNET3/0/1,right_only
1282,OSAKA,OSA-T1A-RT02,GIGABITETHERNET2/0/3,TK2-T1A-RT01,GIGABITETHERNET1/0/4,right_only
1283,SINGAPORE,TCX-T1A-IH4X-HRT02,GE_2/1/31,SI2-T1A-SVQX-HCR02,GE_1/1/6,right_only
1284,SINGAPORE,TCX-T1A-IH4X-HRT01,GE_1/1/25,TCX-T1A-IH4X-HRT02,GE_1/1/25,right_only
1285,SINGAPORE,TCX-T1A-IH4X-HRT01,GE_2/1/25,TCX-T1A-IH4X-HRT02,GE_2/1/25,right_only
1286,SINGAPORE,SI-T1A-RT01,GIGABITETHERNET4/0/2,SI-T1A-HCR01,GE_3/1/1,right_only
1287,SINGAPORE,SI-T1A-RT01,GIGABITETHERNET3/0/2,SI-T1A-HCR01,GE_3/1/2,right_only
1288,SINGAPORE,SI-T1A-RT01,GIGABITETHERNET4/1/1,SI-T1A-SVWX-HCR02,GE_1/1/2,right_only
1289,SINGAPORE,SI-T1A-RT01,GIGABITETHERNET4/1/0,SI-T1A-SVWX-HCR02,GE_1/1/3,right_only
1290,SINGAPORE,SI-T1A-HCR01,STM1_5/2/1,JK2-T1A-IJNX-RT01,POS1/1/0,right_only
1291,SINGAPORE,SI-T1A-HCR01,TE_3/1/14,MLA-T1A-P98X-HRT01,TE_2/1/14,right_only
1292,SINGAPORE,SI-T1A-HCR01,GE_3/1/8,TCX-T1A-IH4X-HRT01,GE_1/1/29,right_only
1293,SINGAPORE,SI-T1A-HCR01,GE_2/1/1,SI-T1A-RT05-PE,GIGABITETHERNET3/0/1,right_only
1294,SINGAPORE,SI-T1A-HCR01,GE_2/1/2,SI-T1A-RT05-PE,GIGABITETHERNET2/0/2,right_only
1295,SINGAPORE,SI-T1A-HCR01,TE_4/1/4,SI-T1A-SVWX-HCR02,TE_5/2/13,right_only
1296,SINGAPORE,SI-T1A-HCR01,TE_3/1/13,TK-T1A-T0VX-HCR01,TE_5/1/13,right_only
1297,SINGAPORE,SI-T1A-HCR01,TE_2/2/2,CN-ME01-HCR01,TE_2/1/10,right_only
1298,SINGAPORE,SI-T1A-HCR01,GE_2/1/10,PER-T1A-H9UX-HRT01,GE_5/1/10,right_only
1299,SINGAPORE,SI-T1A-HCR01,TE_4/1/3,SY-T1A-M3HX-HRT01,TE_3/2/2,right_only
1300,SINGAPORE,SI-T1A-HCR01,TE_2/2/3,SI2-T1A-SVQX-HCR01,TE_2/2/3,right_only
1301,SINGAPORE,SI-T1A-HCR01,STM1_5/2/2,JK2-T1A-IJNX-RT01,POS1/1/1,right_only
1302,SINGAPORE,SI-T1A-HCR01,GE_2/1/8,SI-T1A-ASINX-ACN-RT02,GIGABITETHERNET0/0/0,right_only
1303,SINGAPORE,SI-T1A-RT05-PE,GIGABITETHERNET3/0/1,SI-T1A-HCR01,GE_2/1/1,right_only
1304,SINGAPORE,SI-T1A-RT05-PE,GIGABITETHERNET2/0/2,SI-T1A-HCR01,GE_2/1/2,right_only
1305,SINGAPORE,SI-T1A-RT05-PE,GIGABITETHERNET2/1/3,SI-T1A-SVWX-HCR02,GE_1/1/5,right_only
1306,SINGAPORE,SI-T1A-RT05-PE,GIGABITETHERNET2/0/0,SI-T1A-SVWX-HCR02,GE_5/2/5,right_only
1307,SINGAPORE,SI-T1A-SVWX-HCR02,TE_2/1/4,HK-T1A-CR02,TENGIGABITETHERNET9/1,right_only
1308,SINGAPORE,SI-T1A-SVWX-HCR02,GE_1/1/5,SI-T1A-RT05-PE,GIGABITETHERNET2/1/3,right_only
1309,SINGAPORE,SI-T1A-SVWX-HCR02,GE_5/2/5,SI-T1A-RT05-PE,GIGABITETHERNET2/0/0,right_only
1310,SINGAPORE,SI-T1A-SVWX-HCR02,TE_1/1/14,SI-T1A-SVWX-HPE02,P 1/1/14,right_only
1311,SINGAPORE,SI-T1A-SVWX-HPE01,TE_1/1/13,SI-T1A-HCR01,TE_2/1/14,right_only
1312,SINGAPORE,SI-T1A-SVWX-HPE01,GE_10/1/13,SI-T1A-SVWX-HPE02,GE_10/1/13,right_only
1313,SINGAPORE,SI-T1A-SVWX-HPE02,TE_1/1/14,SI-T1A-HCR01,TE_1/1/14,right_only
1314,SINGAPORE,SI-T1A-SVWX-RT07-ASBR,GIGABITETHERNET0/3,SI-T1A-HCR01,GE_2/1/3,right_only
1315,SINGAPORE,SI-T1A-SVWX-RT07-ASBR,GIGABITETHERNET0/1,SI-T1A-SVWX-HCR02,GE_1/1/11,right_only
1316,SINGAPORE II,SI2-T1A-RT01,GIGABITETHERNET3/0/1,SI2-T1A-SVQX-HCR02,GE_1/1/5,right_only
